"id","nom","nbAvis","latitude","longitude","shape_gid","gtrip"
"653106","Église Saint-Germain-des-Pres","219","48.853874","2.333788","83333","187147"
"3140972","Pont de l  Archevêché","346","48.85176","2.351698","83325","187147"
"245159","Zénith","113","48.88885","2.39249","82479","187147"
"194194","Fontaine Saint-Sulpice","85","48.850857","2.33349","83333","187147"
"189796","8ème arrondissement","96","48.87781","2.316399","76102","187147"
"245090","Le Latina","2","48.85871","2.35351","83325","187147"
"208051","Théâtre-musée des Capucines","26","48.87008","2.32907","83329","187147"
"232101","Cimetière Saint-Vincent","9","48.889103","2.33924","83250","187147"
"210321","Musée Edith Piaf","28","48.8662","2.38156","83328","187147"
"188465","Viaduc des Arts","94","48.83795","2.400223","83324","187147"
"189199","Rue d  Alésia","41","48.82871","2.324338","82477","187147"
"523893","Archives nationales de l  Hôtel de Soubise","76","48.85989","2.35713","83332","187147"
"232123","Musée national de céramique de Sèvres","62","48.82514","2.21287","64810","187147"
"545588","La Pagode","13","48.85176","2.3168","83327","187147"
"209782","Arènes de Lutèce","185","48.84444","2.353118","82476","187147"
"1963426","Passerelle Leopold-Sedar-Senghor","54","48.86182","2.324705","83327","187147"
"2536544","Musee National Jean-Jacques Henner","23","48.88316","2.30774","82475","187147"
"1028846","Musee De La Resistance Nationale","14","48.88982","2.3599","83250","187147"
"189252","Parc de la Villette","347","48.89276","2.390984","82479","187147"
"188692","Parc André Citroën","153","48.84176","2.27668","83331","187147"
"244992","Denfert","7","48.83404","2.33113","82477","187147"
"3383070","Musée de la Légion d  Honneur","81","48.86023","2.3248","83327","187147"
"194187","Bois de Boulogne","279","48.871418","2.275286","83330","187147"
"240638","Café de la danse","5","48.86416","2.385814","82478","187147"
"232160","Musée du Cristal Baccarat","85","48.87513","2.351739","66451","187147"
"644725","Quai d  Orsay","88","48.862373","2.30938","83327","187147"
"2161438","Le Mur des Je t  aime","339","48.8846","2.338703","83250","187147"
"285700","Fondation Henri Cartier-Bresson","51","48.836918","2.321901","82477","187147"
"3725155","Theatre Zingaro","34","48.88783","2.38943","82479","187147"
"1991147","Pont d  Iena","110","48.859203","2.293293","83327","187147"
"3428586","Musée Dupuytren Paris","35","48.833748","2.348714","82480","187147"
"1905600","Le Pont de Bir-Hakeim","145","48.854324","2.288958","83331","187147"
"288442","Le Pletzl","6","48.856922","2.359958","83325","187147"
"245138","Studio Harmonic","9","48.85385","2.37472","83328","187147"
"2072996","Passage Verdeau","84","48.873352","2.342324","83329","187147"
"211691","Crazy Horse","1143","48.865982","2.301643","76102","187147"
"3406006","Tour Saint-Jacques","189","48.862556","2.335826","82481","187147"
"191144","Place Sainte-Catherine","35","48.855568","2.362962","83325","187147"
